lean_lane,route_band,currency,records,buyers,median_value,p25_value,p75_value,median_bidders,avg_priority
Video production / post-production,OPEN_PUBLIC,GBP,31,28,320000.0,180000.0,1200000.0,8.0,76.85935483870968
OTHER / OPEN WORLD,UNKNOWN,RSD,30,20,991531250.0,553574812.5,2458981080.0,2.0,50.00333333333333
Survey / market research,UNKNOWN,UNKNOWN,30,25,500000.0,319000.0,7000000.0,3.5,63.91
Training / e-learning,COMPETITIVE_OTHER,CAD,29,21,158652.0,116746.5,303224.2,,66.8096551724138
Event support / production,COMPETITIVE_OTHER,EUR,29,25,290922.375,26838.0075,1528802.04,3.0,62.14206896551724
Event support / production,DIRECT_NONCOMPETITIVE,GBP,29,26,90375.68,29754.0,180000.0,3.0,62.34
Call centre / helpdesk operations,OPEN_PUBLIC,CAD,29,18,63599.635,41442.4675,454524.0775000001,5.0,63.602758620689656
Event support / production,COMPETITIVE_OTHER,GBP,28,22,82492.18,44192.4675,670500.0,4.0,61.94642857142857
Document digitization / OCR / scanning,UNKNOWN,NOK,28,23,4831810.0,1692549.25,32500000.0,3.5,73.76214285714286
Hardware / AV resale,FRAMEWORK_DPS_CALLOFF,EUR,28,8,300000.0,77556.56,1448100.0,11.0,69.13928571428572
Media / press monitoring,DIRECT_NONCOMPETITIVE,CAD,28,17,57670.979999999996,28585.877500000002,102572.25,1.0,74.44428571428571
Signage / display production,DIRECT_NONCOMPETITIVE,GBP,27,21,48355.0,32105.75,116970.75,1.0,69.23555555555555
