warehouse_source,country,buyer_name,lean_lane,route_band,records,median_value,avg_priority
TED,CZE,Nemocnice Na Homolce,OTHER / OPEN WORLD,UNKNOWN,489,945249.7475,53.2559918200409
TED,HUN,Építési és Közlekedési Minisztérium,OTHER / OPEN WORLD,UNKNOWN,487,1104625000.0,50.624722792607805
Belgium,BE,KU Leuven (universiteit),OTHER / OPEN WORLD,UNKNOWN,484,,41.31574380165289
TED,BGR,ОБЩИНА БУРГАС,OTHER / OPEN WORLD,UNKNOWN,482,192241.63,50.77033195020747
TED,PRT,"SPMS - Serviços Partilhados do Ministério da Saúde, E. P. E.",OTHER / OPEN WORLD,UNKNOWN,482,315800.0,49.26286307053942
TED,POL,"Jastrzębska Spółka Węglowa S.A. z siedzibą w Jastrzębiu Zdroju, Zakład Wsparcia Produkcji",OTHER / OPEN WORLD,UNKNOWN,480,9900000.0,45.51529166666667
TED,LVA,Daugavpils valstspilsētas pašvaldība,OTHER / OPEN WORLD,UNKNOWN,480,80210.08,44.814375
TED,SVN,MINISTRSTVO ZA OBRAMBO,OTHER / OPEN WORLD,UNKNOWN,479,388246.575,52.72830897703549
Quebec,Canada - Quebec,Ministère des Transports et de la Mobilité durable (Direction générale de la gestion contractuelle),OTHER / OPEN WORLD,DIRECT_NONCOMPETITIVE,476,27593.980000000003,54.44172268907563
TED,POL,PKP Polskie Linie Kolejowe S.A.,OTHER / OPEN WORLD,UNKNOWN,472,11241647.055,49.95690677966102
Quebec,Canada - Quebec,Ville de Longueuil,OTHER / OPEN WORLD,OPEN_PUBLIC,470,437698.33,53.243148936170215
Germany,Germany,Deutsche Gesellschaft für Internationale Zusammenarbeit (GIZ) GmbH,OTHER / OPEN WORLD,OPEN_PUBLIC,470,471000.0,52.35668085106383
Germany,Germany,"Bundesamt für Ausrüstung, Informationstechnik und Nutzung der Bundeswehr",OTHER / OPEN WORLD,DIRECT_NONCOMPETITIVE,470,443040.965,50.560978723404254
TED,CZE,"Krajská zdravotní, a.s.",OTHER / OPEN WORLD,UNKNOWN,469,3132811.0,51.92597014925373
Quebec,Canada - Quebec,Ville de Saguenay,OTHER / OPEN WORLD,LIMITED_INVITATION,468,46044.615,50.91089743589744
France,France,Eurométropole de Strasbourg,OTHER / OPEN WORLD,OPEN_PUBLIC,468,583780.0,46.97948717948718
TED,ESP,"CANAL DE ISABEL II, S.A., M.P.",OTHER / OPEN WORLD,UNKNOWN,466,1765000.0,52.1450643776824
United Kingdom,United Kingdom,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,OTHER / OPEN WORLD,UNKNOWN,466,23415.36,44.62394849785408
