Warehouse_Source,Country,code,description,category,subcategory,lean_fit,automation_potential,records,buyers,first_date,last_date,median_estimated_value,median_bidders,one_bidder_rows
Canada federal,Canada,*26120000 *26121500 *26121600 *30102802 *30110000 *30111500 *30130000 *30190000 *41114500 *72100000 *72101500 *72101507 *72101510 *72102300 *72102801 *72121103 *72151200 *72151201 *72151202 *72151204,*Electrical wire and cable and harness *Electrical wire *Electrical cable and accessories *Concrete pilings *Concrete and cement and plaster *Concrete and mortars *Structural building products *Construction and maintenance support equipment *Mechanical instruments *Building and facility maintenance and repair services *Building maintenance and repair services *Building maintenance service *Plumbing system maintenance or repair *Plumbing and heating and air conditioning *Renovation of buildings or landmarks or monuments *Commercial and office building renovation and repair service *Heating and cooling and air conditioning HVAC construction and maintenance services *HVAC mechanical construction service *HVAC process piping construction service *HVAC ventilation and duct work construction service,Other,*Electrical wire and cable and harness *Electrical wire *Electrical cable and accessories *Concrete pilings *Concrete and cement and plaster *Concrete and mortars *Structural building products *Construction and maintenance support equipment *Mechanical instruments *Building and facility maintenance and repair services *Building maintenance and repair services *Building maintenance service *Plumbing system maintenance or repair *Plumbing and heating and air conditioning *Renovation of buildings or landmarks or monuments *Commercial and office building renovation and repair service *Heating and cooling and air conditioning HVAC construction and maintenance services *HVAC mechanical construction service *HVAC process piping construction service *HVAC ventilation and duct work construction service,15,20,1,1,2024-07-03,2024-07-03,,,0
Canada federal,Canada,*43201546 *43221506 *43233503 *45111901 *45111902 *56101706 *81112207 *81161711,*Audio conferencing boards *Teleconferencing console *Network conferencing software *Audioconferencing systems *Videoconferencing systems *Conferencing tables *Video conferencing software maintenance *Videoconferencing service,Other,*Audio conferencing boards *Teleconferencing console *Network conferencing software *Audioconferencing systems *Videoconferencing systems *Conferencing tables *Video conferencing software maintenance *Videoconferencing service,15,20,1,1,2025-01-27,2025-01-27,,,0
Canada federal,Canada,*80101511 *92110000,*Human resources consulting service *Military services and national defense,Other,*Human resources consulting service *Military services and national defense,15,20,1,1,2026-06-08,2026-06-08,,,0
Canada federal,Canada,*25201703 *41115200 *43211710 *46170000 *46171600 *92111700,*Aircraft countermeasures *Radar and sonar systems and components *Radio frequency identification devices *Security surveillance and detection *Surveillance and detection equipment *Military science and research,Other,*Aircraft countermeasures *Radar and sonar systems and components *Radio frequency identification devices *Security surveillance and detection *Surveillance and detection equipment *Military science and research,15,20,1,1,2026-03-26,2026-03-26,,,0
Canada federal,Canada,*80101600 *80160000 *81110000 *81111800,*Project management *Business administration services *Computer services *System and system component administration services,Other,*Project management *Business administration services *Computer services *System and system component administration services,15,20,1,1,2025-05-01,2025-05-01,,,0
Canada federal,Canada,*56100000 *56111802 *56112106 *56112200 *56112204,*Accommodation furniture *Freestanding tables *Stool seating *Desking systems *Worksurfaces,Other,*Accommodation furniture *Freestanding tables *Stool seating *Desking systems *Worksurfaces,15,20,1,1,2024-02-28,2024-02-28,,,0
Canada federal,Canada,*44102101 *44102106 *44102108 *44102109,*Franking or postage machines *Letter folders *Mail machine accessories *Automatic postal or mailing machine,Other,*Franking or postage machines *Letter folders *Mail machine accessories *Automatic postal or mailing machine,15,20,1,1,2024-11-07,2024-11-07,,,0
Canada federal,Canada,*72121101 *72141510,*Commercial and office building new construction service *Demolition services,Other,*Commercial and office building new construction service *Demolition services,15,20,1,1,2026-02-04,2026-02-04,,,0
Canada federal,Canada,*86101500,*Agriculture and forestry and other natural resources training services,Other,*Agriculture and forestry and other natural resources training services,15,20,1,1,2026-04-16,2026-04-16,,,0
Canada federal,Canada,*56101702 *56101703 *56101706 *56101711 *56112204,*Filing cabinets or accessories *Desks *Conferencing tables *Modular furniture connectors *Worksurfaces,Other,*Filing cabinets or accessories *Desks *Conferencing tables *Modular furniture connectors *Worksurfaces,15,20,1,1,2026-05-06,2026-05-06,,,0
